Reservation Source Category,Reservation Source,Room Count - sum,Room Nights - sum,Room Revenue Total - sum,Total Reservation Taxes - sum,Grand Total - sum,Estimated Commission - sum
Agencia de Viajes,ABANICO VIAJES,3,9,1088000.0,0,1088000.0,60
Agencia de Viajes,AERO,5,16,1354100.0,0,1362600.0,50
Agencia de Viajes,Agente de Viajes Predeterminado,155,323,45341160.81,0,45598160.81,0
Agencia de Viajes,AMICHI,32,100,11474000.0,0,11503000.0,620
Agencia de Viajes,AVILA,1,2,184000.0,0,184000.0,20
Agencia de Viajes,AXIOMA,16,12,5283200.0,0,5287700.0,60
Agencia de Viajes,AYAX,4,14,1118400.0,0,1120400.0,80
Agencia de Viajes,CALUCH,1,8,416000.0,0,416000.0,20
Agencia de Viajes,CLARAMINTE VIAJES,1,5,260000.0,0,260000.0,20
Agencia de Viajes,CONTRASTES,41,130,14010400.0,0,14055900.0,700
Agencia de Viajes,CUARTO CONTINENTE,5,24,1653600.0,0,1657600.0,80
Agencia de Viajes,Cynsa,5,4,547594.8,0,547594.8,0
Agencia de Viajes,DOMINOR,1,3,187200.0,0,188200.0,20
Agencia de Viajes,FEB,15,59,7956600.0,0,7969100.0,260
Agencia de Viajes,INSIGNIA,6,22,1798400.0,0,1798400.0,100
Agencia de Viajes,JULIA TOURS,4,14,792800.0,0,792800.0,80
Agencia de Viajes,LA FAMILIA EVT,1,7,644000.0,0,646000.0,0
Agencia de Viajes,LO MEJOR,1,4,368000.0,0,378000.0,10
Agencia de Viajes,LUXOR,4,16,937600.0,0,941600.0,80
Agencia de Viajes,OVERTRAVEL,4,10,2315000.0,0,2325500.0,40
Agencia de Viajes,PENTAGONO,2,6,720000.0,0,721500.0,40
Agencia de Viajes,RAYANTU,15,56,6800800.0,0,6811800.0,260
Agencia de Viajes,TIEMPO LIBRE,7,27,2621600.0,0,2623600.0,140
Agencia de Viajes,WAVE,1,4,288000.0,0,288000.0,20
Agencia de Viajes,ZAMORANO VIAJES,1,5,360000.0,0,360000.0,20
Direct,Email,319,886,115635094.94,0,116046794.94,0
Direct,Pagina Web,147,357,43041230.0,0,43187730.0,0
Direct,Teléfono,59,129,15475125.0,0,15524125.0,0
Direct,Walk-In,888,1806,298712306.86,0,299724106.86,0
Mayorista,JUDITUR,1,4,249600.0,0,249600.0,20
Mayorista,Mayorita Predeterminado,9,2,956212.92,0,956212.92,0
OTA,Booking.com,166,318,49216452.38,0,49364106.06,0
OTA,CVC,3,12,1637035.0,0,1638535.0,0
OTA,Despegar/Decolar,665,2212,207515340.79,0,208121840.79,0
OTA,Expedia,279,610,74108539.13,0,74260551.13,0
